locomotion_mode,terrain_info,walk_speed_info,gait_phase,gait_percentage,left_accel_x,left_accel_y,left_accel_z,left_gyro_x,left_gyro_y,left_gyro_z,right_accel_x,right_accel_y,right_accel_z,right_gyro_x,right_gyro_y,right_gyro_z,left_hip_angle,left_knee_angle,right_hip_angle,right_knee_angle,left_hip_angle_vel,left_knee_angle_vel,right_hip_angle_vel,right_knee_angle_vel
301,33,0.9,0,0,692.95652173913,-8220,333.960095294818,-270.566142638037,-39.0666666666667,123.586956521739,-1486,-8052,494,248,-24,152,61.74,68.25,59.58,65.98,0,0,0,0
301,33,0.9,0,0,736,-8212,326,-278,-36,120,-1512.47540983607,-8081,601.923197492163,269.326530612245,-28.9107142857143,138.146078431373,61.74,68.25,59.58,65.98,0,0,0,0
301,33,0.9,0,0,760,-8212,290,-289,-44,129,-1554,-8110,682,280,-35,126,61.74,68.25,59.58,66.0000040708325,0,0,0,0.0200040708324849
301,33,0.9,0,0,741.760188087774,-8219.87837837838,230.796915167095,-291.805659059152,-43,133.191176470588,-1588.52459016393,-8105.47916666667,669,275.5,-36.4415584415584,123.133333333333,61.74,68.25,59.58,66.0493018522288,0,0,0,0.0492977813962909
301,33,0.9,0,0,706,-8234,192,-294,-42,135,-1608,-8096,656,271,-38,122,61.74,68.25,59.58,66.0084716796875,0,0,0,-0.040830172541277
301,33,0.9,0,0,660,-8248,198,-298,-48,126,-1492.13888888889,-8077.79583333333,657.030769230769,276.25,-47.5,125.845070422535,61.74,68.25,59.58,65.9815387746794,0,0,0,-0.0269329050080813
301,33,0.9,0,0,569.770204899558,-8245.40740740741,175.696969696965,-294.684210526315,-50.791900026107,106.355483578511,-1349.99999999999,-8062,660.000000000001,283.000000000001,-57.0000000000005,135.000000000002,61.74,68.25,59.58,66.0028750254427,0,0,0,0.0213362507632837
301,33,0.9,0,0,446.298796586721,-8240.59259259259,132.060606060604,-286.701754385964,-52.7314408436899,76.8159663734498,-1314.86111111111,-8059.01071428571,701.900368493787,285.75,-59.1477272727274,159.545980161125,61.74,68.25,59.58,66.032760024425,0,0,0,0.0298849989822827
301,33,0.9,0,0,328,-8238,102,-277,-56,44,-1284,-8056,786,287,-60,193,61.74,68.25,59.58,66.0498219010788,0,0,0,0.0170618766537842
301,33,0.9,0,0,230,-8270,94,-264,-66,7,-1224,-8044,916,281,-58,221,61.74,68.25,59.58,66.05,0,0,0,0.000178098921225001
301,33,0.9,0,0,220.166666666667,-8220,98,-250.544988666601,-88.6909090909091,-47.9256139577741,-1229.27322404372,-8065,910,265.882134914752,-55.5067750677507,259.109980430528,61.74,68.25,59.58,66.05,0,0,0,0
301,33,0.9,0,0,214,-8170,102,-241,-105,-117,-1244,-8086,904,248,-53,293,61.74,68.25,59.58,66.05,0,0,0,0
301,33,0.9,0,0,204,-8216,66,-238,-13,-203,-1391.37952058636,-8078.76086956522,946.15692821369,236.921664626683,-51.4633123689727,315.157142857143,61.74,68.25,59.58,66.05,0,0,0,0
301,33,0.9,0,0,64,-8296,66,-243,-11,-258,-1590,-8068,1022,224,-49,326,61.74,68.25,59.58,66.05,0,0,0,0
