locomotion_mode,terrain_info,walk_speed_info,gait_phase,gait_percentage,left_accel_x,left_accel_y,left_accel_z,left_gyro_x,left_gyro_y,left_gyro_z,right_accel_x,right_accel_y,right_accel_z,right_gyro_x,right_gyro_y,right_gyro_z,left_hip_angle,left_knee_angle,right_hip_angle,right_knee_angle,left_hip_angle_vel,left_knee_angle_vel,right_hip_angle_vel,right_knee_angle_vel
302,-33,0.9,1,0,2120,-8208,-268,2432,2471,7863,-1554,-7888,592,-452,147,1285,62.90505394,70.09,59.88,66.40280536,0.017195196,0,0,-0.076263742
302,-33,0.9,1,0.584795322,2604.43214,-9144.93162,-643,2259.011111,2837.826533,7715.522155,-1546.601626,-7818,844,-476.8369098,160.4425386,1407.628435,62.8584022,70.09,59.88,66.35576134,-0.04665174,0,0,-0.047044021
302,-33,0.9,1,1.169590643,3254,-9838,-1018,2109,3136,7440,-1544,-7748,1096,-514,179,1530,62.85,70.09,59.86101563,66.35,-0.008402198,0,-0.018984375,-0.005761338
302,-33,0.9,1,1.754385965,4263.018455,-10032.9865,-924.9595051,2010.238133,3317.754555,7122.400655,-2116,-7754,876,-603,214,1638,62.85,70.09,59.82,66.35,0,0,-0.041015625,0
302,-33,0.9,1,2.339181287,5228,-10184,-702,1896,3404,6791,-2069.374269,-7680,1047,-689.0969538,265.3363962,1706.737878,62.93202727,70.05445015,59.85785874,66.35,0.082027275,-0.035549846,0.037858742,0
302,-33,0.9,1,2.923976608,5851.042355,-10389.18515,20.46005151,1619.97701,3157.87488,6537.729364,-1982,-7606,1218,-779,316,1777,62.97836965,69.98942953,59.88,66.35163035,0.046342372,-0.065020622,0.022141258,0.001630353
302,-33,0.9,1,3.50877193,6158,-10644,760,1264,2675,6287,-1857.625731,-7705.252809,1202.472989,-896.0257504,357.8313253,1897.371142,62.95596934,69.89728269,59.88,66.37403066,-0.022400312,-0.092146841,0,0.022400312
302,-33,0.9,1,4.093567251,6117.3875,-11067.41162,1017.499454,919.806941,2023.679301,5989.657029,-1774,-7840,1160,-991,380,2030,62.92538804,69.78647938,59.88,66.40461196,-0.030581295,-0.110803315,0,0.030581295
302,-33,0.9,1,4.678362573,6014,-11480,1128,619,1324,5664,-1906,-7894,988,-1028,374,2136,62.91,69.68,59.88,66.42,-0.01538804,-0.106479376,0,0.01538804
302,-33,0.9,1,5.263157895,5704,-11696,902,429,817,5307,-2633.374616,-7624,332.1773884,-1025.628012,411,2182.161299,62.91,69.57842443,59.88,66.42,0,-0.101575572,0,0
302,-33,0.9,1,5.847953216,5323.33962,-11456.27134,667.136719,264.2403843,292.0280441,4858.597039,-3258,-7354,-198,-1019,448,2221,62.91,69.50301788,59.87446289,66.42645996,0,-0.075406544,-0.005537109,0.006459961
302,-33,0.9,1,6.432748538,4868,-10882,430,110,-192,4355,-2910,-8087.241379,331,-938.371988,442.5,2270.799671,62.91,69.45868349,59.82553711,66.48354004,0,-0.044334395,-0.048925781,0.057080078
302,-33,0.9,1,7.01754386,4276,-9502,196,-40,-568,3810,-2562,-8890,860,-862,437,2337,62.91,69.3568961,59.82,66.49,0,-0.101787389,-0.005537109,0.006459961
302,-33,0.9,1,7.602339181,3419.570919,-8617.788749,-325.4825968,-28.74213836,-784.2685266,3338.856048,-2794,-8974,778,-880,445,2459,62.91,69.21055444,59.82,66.49,0,-0.146341659,0,0
302,-33,0.9,1,8.187134503,2564,-8130,-706,0,-884,2916,-2436,-8726.339286,769.9255121,-1004.212329,405,2457,62.91,69.12327161,59.82,66.527125,0,-0.087282836,0,0.037125
302,-33,0.9,1,8.771929825,1901.240667,-8000.219072,-717.9302832,120.5200377,-875.1382022,2531.235211,-2078,-8304,762,-1114,365,2455,62.91,69.05447296,59.82553711,66.58363054,0,-0.068798641,0.005537109,0.056505542
302,-33,0.9,1,9.356725146,1424,-7950,-722,278,-851,2192,-3198.121582,-8010.42143,400.3721376,-1057.623173,404.7646976,2495,62.91,68.98424619,59.87446289,66.62669589,0,-0.07022677,0.048925781,0.04306535
302,-33,0.9,1,9.941520468,1129.679389,-8109.772727,-575.5076698,380.2808656,-678.1731185,1900.472166,-4732,-7574,-228,-961,490,2535,62.90304616,68.89306415,59.88,66.68050064,-0.006953836,-0.091182046,0.005537109,0.053804751
302,-33,0.9,1,10.52631579,992,-8320,-360,457,-439,1653,-5368,-6018,-830,-877,633,2407,62.87863678,68.78392174,59.88,66.72,-0.024409383,-0.109142408,0,0.039499356
302,-33,0.9,1,11.11111111,1020,-8394,-244,502,-299,1460,-4039,-6512.519135,-752,-906,807.8557503,2350.175297,62.85522915,68.68396586,59.88,66.72,-0.02340763,-0.099955883,0,0
302,-33,0.9,1,11.69590643,1118.296678,-8278.15303,-257.7606838,540.620229,-215.1685879,1233.027915,-2710,-7306,-674,-935,912,2326,62.85,68.61996005,59.88,66.7258019,-0.005229151,-0.064005803,0,0.005801896
302,-33,0.9,1,12.28070175,1202,-8080,-290,561,-176,1010,-3262.790419,-8013.480865,-950,-854.8571429,767.5,2474,62.85,68.58103403,59.88,66.77055355,0,-0.038926025,0,0.044751654
302,-33,0.9,1,12.86549708,1210.814433,-7865.84697,-393.2393162,545.6073298,-277.5086527,820.0972126,-3886,-8422,-1226,-770,623,2622,62.85,68.50421733,59.88,66.8190291,0,-0.076816704,0,0.04847555
302,-33,0.9,2,13.4502924,1214,-7734,-478,512,-473,656,-3961.579509,-8236.08703,-90,-764.7591938,666.1610429,2556.5,62.85,68.4,59.88,66.87,0,-0.104217325,0,0.0509709
302,-33,0.9,2,14.03508772,1204.792952,-7934.41085,-462.7041166,455.9890389,-709.177277,527.089479,-4046,-7740,1046,-760,730,2491,62.85,68.34653253,59.83898438,66.91379044,0,-0.053467466,-0.041015625,0.043790442
302,-33,0.9,2,14.61988304,1176,-8360,-418,370,-985,406,-4784,-5940,340,-741,765,2589,62.84019744,68.29962342,59.8284022,66.95864434,-0.009802565,-0.046909114,-0.010582177,0.044853896
302,-33,0.9,2,15.20467836,916,-9054,-164,235,-1262,270,-5614.789474,-5969,-473.2577763,-720.6153846,856.1896678,2500.712392,62.78577041,68.25379951,59.87505394,67.00644517,-0.05442703,-0.045823911,0.04665174,0.047800835
302,-33,0.9,2,15.78947368,726,-9202,30,120,-1392,185,-6096,-5998,-948,-709,940,2344,62.78,68.48248321,59.88,67.04880531,-0.005770405,0.228683699,0.004946061,0.042360139
302,-33,0.9,2,16.37426901,491.7866155,-9017.354651,14.11677632,-31.51769231,-1496.885584,53.23093466,-5248,-5970,-598,-828,962,2193,62.78,68.88,59.88,67.09,0,0.397516792,0,0.041194687
302,-33,0.9,2,16.95906433,288,-8656,-28,-146,-1598,-69,-4788.206423,-6562,-909,-981.6491781,881.8962656,2214,62.74131532,68.83667962,59.88,67.14044949,-0.03868468,-0.043320384,0,0.050449486
302,-33,0.9,2,17.54385965,192.3312693,-8066.645349,-316.1167763,-187.5723077,-1717.934748,-136.1003565,-4526,-7154,-1220,-1103,742,2235,62.69244911,68.7774525,59.88,67.18712304,-0.048866214,-0.059227112,0,0.04667355
302,-33,0.9,2,18.12865497,80,-7654,-578,-205,-1829,-187,-4409.257883,-6961.924843,-632,-1158.492958,581.1037344,2213.5,62.65324083,68.72448023,59.88,67.22700298,-0.039208274,-0.052972275,0,0.039879938
302,-33,0.9,2,18.71345029,-300,-7706,-432,-197,-1907,-229,-4360,-6498,-44,-1183,480,2192,62.65,68.72,59.88,67.27443539,-0.003240831,-0.004480229,0,0.047432416
302,-33,0.9,2,19.29824561,-506.3867004,-7967.531216,-159.7183443,-187.557554,-1900.177656,-291.4617439,-5351.982546,-4774.075157,-466.1843837,-1176.69863,523.4003115,2267.5,62.65,68.72071331,59.88,67.32468436,0,0.000713306,0,0.050248968
302,-33,0.9,2,19.88304094,-690,-8280,86,-182,-1882,-376,-6638,-3322,-1230,-1163,629,2343,62.65,68.77311385,59.88,67.36942612,0,0.052400549,0,0.044741757
302,-33,0.9,2,20.46783626,-949.5078851,-8460.906398,202.9985465,-205.1402439,-1795.863761,-496.0496963,-7062,-3634,-2008,-1139,897,2092,62.65,68.77785156,59.88,67.41305858,0,0.004737708,0,0.043632459
302,-33,0.9,2,21.05263158,-1204,-8550,256,-248,-1634,-653,-5572,-4127.319133,-1880,-1195.25,891.7219562,2072.132133,62.65,68.58214844,59.88,67.4563128,0,-0.195703125,0,0.04325422
302,-33,0.9,2,21.6374269,-1407.093639,-8472.659866,220.273523,-301.7318491,-1366.641615,-866.7093562,-4082,-4846,-1752,-1292,875,2066,62.65,68.58418423,59.9044043,67.50452017,0,0.002035795,0.024404297,0.048207374
302,-33,0.9,2,22.22222222,-1564,-8296,140,-346,-1049,-1092,-4348,-6094,-2310,-1377,706,2183,62.64930185,68.64509405,59.94,67.55485089,-0.000698148,0.060909817,0.035595703,0.050330715
302,-33,0.9,2,22.80701754,-1658,-7934,-16,-360,-787,-1268,-4866.879301,-7431.873462,-1757.711661,-1452.870217,499.7575075,2153,62.60000407,68.70378384,59.94,67.60275025,-0.049297781,0.058689788,0,0.047899368
302,-33,0.9,2,23.39181287,-1742,-7394,-108,-358,-331,-1525,-5252,-8194,-852,-1518,377,2123,62.58,68.70879707,59.94,67.64691512,-0.020004071,0.005013231,0,0.04416487
302,-33,0.9,2,23.97660819,-1700.96901,-6484.368651,2638.592593,108.6312891,380.6456382,-2119.541494,-5280.643846,-7289.981832,10.71166078,-1579.1,400.607192,2244.69457,62.58,68.64659475,59.94,67.68720822,0,-0.06220232,0,0.0402931
302,-33,0.9,2,24.56140351,-1568.826909,-5138.247858,7739.407407,971.6489779,1352.404025,-3021.374228,-5314,-6000,520,-1612,467,2421,62.55785874,68.66952168,59.94,67.73193699,-0.022141258,0.022926929,0,0.044728765
302,-33,0.9,2,25.14619883,-1332,-3260,10486,1436,2598,-3988,-6448,-5376,-616,-1551,774,2511,62.52,68.72,59.94,67.78,-0.037858742,0.050478323,0,0.048063012
302,-33,0.9,2,25.73099415,306,452,1576,-1121,4581,-4991,-6369.964068,-6184.392193,-1250.289466,-1559.079787,964.7721445,2465.39781,62.52,68.72,59.94,67.83057027,0,0,0,0.050570269
302,-33,0.9,2,26.31578947,1485.735342,-4825.891667,599.766598,-916.6688333,1817,-4544.093506,-6168,-7456,-1540,-1579,1055,2406,62.52,68.72,59.949375,67.87803794,0,0,0.009375,0.047467672
302,-33,0.9,2,26.9005848,2072,-11846,288,-450,-947,-3682,-5522,-8308,-1534,-1632,990,2386,62.52,68.72,59.99742188,67.92107226,0,0,0.048046875,0.043034314
302,-33,0.9,2,27.48538012,-9397,-15148.10833,9562,884.1688333,-326.8479247,-2338.906494,-5536.807487,-9626.358255,-1361.552119,-1698.334704,758.0887716,2459,62.48808467,68.72,60,67.96725885,-0.031915327,0,0.002578125,0.046186591
302,-33,0.9,2,28.07017544,-20866,-16708,18836,1956,455,-1411,-5574,-10494,-1006,-1771,573,2532,62.45,68.72,60,68.01470588,-0.038084673,0,0,0.047447035
302,-33,0.9,2,28.65497076,-44,2252,6264,631,681,-4129,-5703.811514,-10526.78296,-253.7960954,-1863.478299,584,2449.867435,62.45,68.72,60,68.06176471,0,0,0,0.047058824
302,-33,0.9,2,29.23976608,2638,-8982,-574,-898,618,-4210,-5896,-10538,310,-1920,595,2282,62.4415978,68.70879707,60.0084022,68.10871983,-0.008402198,-0.011202931,0.008402198,0.046955121
302,-33,0.9,2,29.8245614,-1278,-10864,-1750,-749,-291,-4295,-6099.343359,-10039.37325,-21.552,-1907.592309,545.5881497,2042.342,62.39494606,68.64659475,60.05505394,68.15558919,-0.04665174,-0.06220232,0.04665174,0.046869367
302,-33,0.9,2,30.40935673,929.8518519,-10454.94162,-1430.287766,-178.964682,-285.6612831,-4077.359146,-6339.081279,-8812.039744,-812.176,-1872.136926,425.0844492,1700.789688,62.39,68.64,60.06,68.20524192,-0.004946061,-0.006594749,0.004946061,0.049652731
302,-33,0.9,2,30.99415205,5030.148148,-9620.549906,-768.7977543,651.9065479,-272.3225662,-3591.940514,-6568.347519,-7258.819616,-1755.824,-1816.285389,275.0866738,1309.066377,62.39,68.64089844,60.06,68.25462937,0,0.000898437,0,0.049387445
302,-33,0.9,2,31.57894737,7238,-8950,-212,1077,-255,-3090,-6740.27584,-5782.532992,-2546.448,-1742.689234,137.1925989,918.8953771,62.39,68.70144531,60.06,68.29835851,0,0.060546875,0,0.043729141
302,-33,0.9,2,32.16374269,7168.968925,-8557.179025,154.2909078,874.34375,-220.0448772,-2645.483789,-6808,-4786,-2878,-1654,53,582,62.37679698,68.72,60.07131687,68.34186148,-0.013203018,0.018554688,0.011316872,0.043502972
302,-33,0.9,2,32.74853801,6966.917134,-8202.881356,497.8141402,428.5,-166.5121131,-2178.572926,-6470,-4197.634541,-2855.372225,-1444.33492,12.13101604,301.4593987,62.32518519,68.72,60.11555556,68.38609582,-0.051611797,0,0.044238683,0.044234336
