locomotion_mode,terrain_info,walk_speed_info,gait_phase,gait_percentage,left_accel_x,left_accel_y,left_accel_z,left_gyro_x,left_gyro_y,left_gyro_z,right_accel_x,right_accel_y,right_accel_z,right_gyro_x,right_gyro_y,right_gyro_z,left_hip_angle,left_knee_angle,right_hip_angle,right_knee_angle,left_hip_angle_vel,left_knee_angle_vel,right_hip_angle_vel,right_knee_angle_vel
202,-5,0.7,4,63.30935252,1918,-524,-4786,-255,-1218,-593,-3784,-7720,796,-337,88,1730,59.7,65.11,60.12,66.1241745,0,0.000698148,0,-0.081513526
202,-5,0.7,4,64.02877698,1718,-1180,-2700,330,-795,-167,-3418,-7492,884,-314,107,1412,59.7,65.10422959,60.12,66.01589029,0,-0.005770405,0,-0.108284207
202,-5,0.7,4,64.74820144,836,-1566,458,704,-468,989,-2990,-8108,918,-302,91,1137,59.7,65.04980256,60.12,65.88739129,0,-0.05442703,0,-0.128498999
202,-5,0.7,4,65.4676259,303.4826737,-1904.232652,913.185375,862.4651661,-309.0340185,1767.623437,-2844.04369,-8309.174589,891.0229592,-280.3633475,89.54411245,940.1105274,59.7,65.06733654,60.12,65.78294329,0,0.017533979,0,-0.104447996
202,-5,0.7,4,66.18705036,54,-2084,1064,999,-171,2400,-2767.829952,-8455.821857,816.0612245,-251.7118644,89.07001414,770.4699323,59.7,65.17041196,60.12,65.6986989,0,0.103075421,0,-0.084244391
202,-5,0.7,4,66.90647482,412.2962963,-1935.703704,444.3703704,1205.782365,66.63946884,2965.339356,-2687.201238,-8545.558196,702.0688776,-226.7044492,88.56090877,628.5943711,59.68904583,65.26471363,60.12,65.6145868,-0.01095417,0.094301667,0,-0.084112097
202,-5,0.7,4,67.62589928,1077.703704,-1660.296296,-706.3703704,1450.0562,328.5419566,3475.37423,-2528,-8576,558,-216,87,515,59.66323399,65.36713795,60.12,65.51763664,-0.025811837,0.102424322,0,-0.096950164
202,-5,0.7,4,68.34532374,1436,-1512,-1326,1703,452,3975,-1938,-7858,252,-235,38,435,59.64243092,65.4860354,60.12,65.38420731,-0.020803072,0.118897442,0,-0.133429333
202,-5,0.7,4,69.0647482,1426.625,-1800.758716,-1151.625,1971.264715,450.7245303,4475.607843,-2152,-7762,614,-169,3,434,59.65898438,65.65405518,60.12,65.2343888,0.016553454,0.168019786,0,-0.149818509
202,-5,0.7,4,69.78417266,1406,-2479.023243,-768,2258.617624,446.6820809,4964.984572,-1846,-8090,954,-162,57,327,59.7,65.83,60.12,65.11147261,0.041015625,0.175944819,0,-0.12291619
202,-5,0.7,4,70.50359712,1385.375,-3264.776148,-384.375,2531.911721,439.548591,5452.619015,-2054,-7298,1052,-175,38,349,59.66214126,65.8787155,60.08735599,65.11,-0.037858742,0.048715501,-0.032644006,-0.001472608
202,-5,0.7,4,71.22302158,1376,-3876,-210,2758,429,5948,-2028.208754,-7563.481481,894.8888889,-172.4074074,39.03703704,366.854559,59.64,65.93372666,60.06,65.11,-0.022141258,0.055011161,-0.027355994,0
202,-5,0.7,4,71.94244604,1462,-4218.655516,-242.6126582,2931.131388,308.763745,6477.573372,-1962.417508,-8056.518519,603.1111111,-167.5925926,40.96296296,383.9624514,59.64,66.03470551,60.06,65.11,0,0.10097885,0,0
202,-5,0.7,4,72.6618705,1548,-4582,-324,3072,119,6968,-1874,-8322,446,-165,42,409,59.64,66.05,60.06,65.13000407,0,0.015294488,0,0.020004071
202,-5,0.7,4,73.38129496,1534,-5155.69685,-559.1905145,3181.580717,-30.84788364,7378.348066,-1726.048367,-8135,637,-173.2279412,31.5,472.3902878,59.64,66.05,60.06,65.17930185,0,0,0,0.049297781
202,-5,0.7,4,74.10071942,1520,-6000,-1000,3285,-177,7694,-1502,-7948,828,-189,21,542,59.64,66.11423304,60.06,65.18,0,0.06423304,0,0.000698148
202,-5,0.7,4,74.82014388,1850,-7540,-1854,3407,-318,7877,-1170,-8116,640,-208,48,577,59.64,66.25604832,60.06257813,65.1834375,0,0.141815278,0.002578125,0.0034375
