locomotion_mode,terrain_info,walk_speed_info,gait_phase,gait_percentage,left_accel_x,left_accel_y,left_accel_z,left_gyro_x,left_gyro_y,left_gyro_z,right_accel_x,right_accel_y,right_accel_z,right_gyro_x,right_gyro_y,right_gyro_z,left_hip_angle,left_knee_angle,right_hip_angle,right_knee_angle,left_hip_angle_vel,left_knee_angle_vel,right_hip_angle_vel,right_knee_angle_vel
100,0,1.1,1,11.42857143,762,-8360,512,163,-86,-1038,-3894.348657,-10557,403.6838791,-1824.975524,1523,2899,59.76,64.69210604,59.76,65.91,0,-0.047681059,0,0
100,0,1.1,2,12.14285714,668.3200673,-8412.258842,656.0625,181.8850035,-83.47596154,-960.6224139,-5182,-10586,18,-1610,1395,3110,59.76,64.725,59.76,65.91,0,0.032893963,0,0
100,0,1.1,2,12.85714286,606.5067265,-8454.118971,973,221.3144476,-76.76923077,-900.026941,-5554,-10130,-12,-1369,1535,2975,59.75770405,64.76,59.76,65.91267861,-0.00229595,0.035,0,0.002678608
100,0,1.1,2,13.57142857,572.4400224,-8481.919614,1289.9375,260.3366678,-67.17788462,-857.4179976,-5382,-9372,354,-1227,1560,2791,59.71251781,64.76,59.76,65.96539589,-0.045186241,0,0,0.052717281
100,0,1.1,2,14.28571429,562,-8492,1434,278,-56,-834,-4424,-7854,830,-1021,1666,2495,59.7,64.76,59.76,65.96539589,-0.01251781,0,0,1.42E-14
100,0,1.1,2,15,948,-8266,1320,220,-38,-825,-3652,-6978,786,-832,1672,2086,59.7,64.76,59.76,65.91267861,0,0,0,-0.052717281
100,0,1.1,2,15.71428571,941.1334221,-8241.85994,1230.672846,178.6735433,-41.40740741,-794.1513478,-1536,-4210,236,-535,1230,1285,59.7,64.72808467,59.76,65.91814966,0,-0.031915327,0,0.005471051
100,0,1.1,2,16.42857143,921.0491729,-8223.918501,1155.547376,140.1975399,-49.92592593,-737.1670585,-964.0312679,-2668.39772,-603.6064261,-407.1958019,559.2059209,1270.068136,59.69992605,64.69008627,59.76,65.94786327,-7.39E-05,-0.0379984,0,0.029713609
100,0,1.1,2,17.14285714,888.5204792,-8211.368735,1086.170475,106.0320867,-61,-668.2034556,-615.4881207,-1523.976638,-1520.914324,-322.041433,-201.2962417,1265.070945,59.69228638,64.69899923,59.76,65.9934062,-0.007639674,0.008912953,0,0.045542932
100,0,1.1,2,17.85714286,844.320568,-8203.403695,1014.089023,77.63728096,-72.07407407,-601.4168626,-470,-1076,-1952,-191,-698,1252,59.67638484,64.71755102,59.76,66.04849257,-0.015901538,0.018551794,0,0.055086368
100,0,1.1,2,18.57142857,789.222666,-8199.216432,930.8499039,56.47321968,-80.59259259,-550.9636029,-428.3123016,-1880.113558,-862.1388889,176.6804689,-920.242265,763.2380599,59.65834134,64.73860177,59.76,66.10683648,-0.018043502,0.021050753,0,0.058343916
100,0,1.1,2,19.28571429,724,-8198,828,44,-84,-531,-412,-3008,442,582,-1019,-9,59.64427577,64.7550116,59.76,66.16215206,-0.014065568,0.016409829,0,0.055315576
100,0,1.1,2,20,519.4931736,-8326,636.1317495,38.7495611,-81.93269231,-548.619713,-804.7,-3656.886442,810.1388889,786.8839717,-946.3558938,-575.5224024,59.64,64.75820244,59.76,66.20812496,-0.004275769,0.00319084,0,0.045972901
100,0,1.1,2,20.71428571,350,-8454,502,34,-79,-568,-1336,-3982,964,971,-794,-1118,59.64,64.71517671,59.76,66.24620522,0,-0.043025733,0,0.03808026
100,0,1.1,2,21.42857143,369.8337433,-8423.235787,570.75,25.63666123,-77.24519231,-570.4477298,-1603.3,-3710,366.821608,1201.730853,-544.8685471,-1639.611042,59.64,64.66373554,59.76,66.30224514,0,-0.051441172,0,0.056039914
100,0,1.1,2,22.14285714,417.3899821,-8352.962099,722,14.58710753,-75.63461538,-571.5894646,-1732,-3438,-400,1463,-247,-2178,59.64,64.62053748,59.76,66.38952991,0,-0.04319806,0,0.087284771
100,0,1.1,2,22.85714286,474.7512299,-8276.207362,873.25,1.994000069,-74.45673077,-572.6864672,-1596,-3512,-642,1774,-2,-2796,59.64,64.65808467,59.76,66.49120445,0,0.037547196,0,0.101674547
100,0,1.1,2,23.57142857,524,-8226,942,-11,-74,-575,-1336,-3800,-678,1942,131,-3152,59.64,64.69,59.76180517,66.58867274,0,0.031915327,0.001805175,0.097468291
100,0,1.1,2,24.28571429,552.8020091,-8208.996653,914,-25.06985083,-74.77777778,-586.57155,-1099.536284,-4288.681366,-751.1572194,2104.319899,231.3415338,-3483.240284,59.64,64.69,59.80267465,66.68362205,0,0,0.040869479,0.094949305
100,0,1.1,2,25,579.4573276,-8197.720549,862,-40.37510655,-76.22222222,-608.803843,-896,-4920,-886,2275,282,-3815,59.62444444,64.69,59.84497819,66.78244547,-0.015555556,0,0.042303535,0.098823421
100,0,1.1,2,25.71428571,632,-8174,834,-55,-77,-633,-746,-5672,-1264,2476,156,-4173,59.58205761,64.69,59.87864036,66.8666009,-0.042386831,0,0.033662171,0.084155428
100,0,1.1,2,26.42857143,958,-8018,848,-68,-61,-658,-639,-6120.957924,-1476.642108,2683.387055,-46.65937251,-4395.107209,59.58,64.6949884,59.88,66.87,-0.002057613,0.004988398,0.00135964,0.003399101
100,0,1.1,2,27.14285714,725,-8094,796,-74.64859438,-73,-633.5,-586,-6494,-1574,2854,-289,-4583,59.58,64.71139823,59.88178243,66.87,0,0.016409829,0.001782427,0
100,0,1.1,2,27.85714286,492,-8170,744,-81,-85,-609,-801.003876,-6877.215461,-1520.420368,2970.733871,-539.7638423,-4786.209476,59.58,64.73244898,59.92244068,66.87,0,0.021050753,0.04065825,0
